"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Measure Name","Measure ID","Compared to National","Denominator","Score","Lower Estimate","Higher Estimate","Footnote","Measure Start Date","Measure End Date"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Hospital return days for heart attack patients","EDAC_30_AMI","More days than average","490.0","19.5","5.7","34.0","","07/01/2013","06/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Hospital return days for heart failure patients","EDAC_30_HF","Average","975.0","9.8","-4.6","24.2","","07/01/2013","06/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","No Different than the National Rate","490","17.5","15.2","20.1","","07/01/2013","06/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Rate of readmission for CABG","READM_30_CABG","No Different than the National Rate","141","14.6","11.4","18.5","","07/01/2013","06/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Rate of readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","No Different than the National Rate","763","20.0","17.8","22.4","","07/01/2013","06/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","No Different than the National Rate","975","21.0","18.8","23.3","","07/01/2013","06/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","No Different than the National Rate","754","4.6","3.5","5.9","","07/01/2013","06/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","Better than the National Rate","4888","14.3","13.5","15.2","","07/01/2015","06/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","No Different than the National Rate","1299","16.3","14.6","18.2","","07/01/2013","06/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Rate of readmission for stroke patients","READM_30_STK","No Different than the National Rate","571","12.5","10.5","14.8","","07/01/2013","06/30/2016"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Hospital return days for heart attack patients","EDAC_30_AMI","Fewer days than average","1697.0","-13.8","-21.0","-5.9","","07/01/2013","06/30/2016"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Hospital return days for heart failure patients","EDAC_30_HF","Fewer days than average","1755.0","-23.4","-33.2","-13.0","","07/01/2013","06/30/2016"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","Better than the National Rate","1697","13.7","12.3","15.2","","07/01/2013","06/30/2016"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Rate of readmission for CABG","READM_30_CABG","No Different than the National Rate","540","13.1","10.9","15.5","","07/01/2013","06/30/2016"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Rate of readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","Better than the National Rate","931","17.4","15.6","19.4","","07/01/2013","06/30/2016"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","Better than the National Rate","1755","17.2","15.7","18.7","","07/01/2013","06/30/2016"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","Better than the National Rate","1881","3.3","2.6","4.0","","07/01/2013","06/30/2016"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","Better than the National Rate","10546","13.2","12.6","14.7","","07/01/2015","06/30/2016"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","No Different than the National Rate","1832","15.3","13.9","16.9","","07/01/2013","06/30/2016"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Rate of readmission for stroke patients","READM_30_STK","No Different than the National Rate","986","10.8","9.2","12.5","","07/01/2013","06/30/2016"
"340003","NORTHERN HOSPITAL OF SURRY COUNTY","830 ROCKFORD ST","MOUNT AIRY","NC","27030","SURRY","3367197000","Hospital return days for heart attack patients","EDAC_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","","07/01/2013","06/30/2016"
"340003","NORTHERN HOSPITAL OF SURRY COUNTY","830 ROCKFORD ST","MOUNT AIRY","NC","27030","SURRY","3367197000","Hospital return days for heart failure patients","EDAC_30_HF","Average","156.0","-16.4","-39.0","9.5","","07/01/2013","06/30/2016"
