id,Provider ID,Measure ID,Measure Name,Score,Sample
,340001,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340002,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340004,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340010,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340014,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340021,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340028,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340030,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340032,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340040,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340042,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340047,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340050,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340053,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340069,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340070,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340090,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340091,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340098,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340113,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340115,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340130,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340131,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340141,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340147,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340155,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340166,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,340173,EDV,"Emergency department volume-Very High (60,000+ patients annually)",60000,-999
,333301,VTE_6,Hospital acquired potentially preventable venous thromboembolism,-999,-999
,340001,OP_1,Median Time to Fibrinolysis,-999,-999
,340001,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,-999,-999
,340001,OP_31,Improvement in Patient???s Visual Function within 90 Days Following Cataract Surgery,-999,-999
,340001,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,-999,-999
,340002,OP_1,Median Time to Fibrinolysis,-999,-999
,340002,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,-999,-999
,340002,OP_31,Improvement in Patient???s Visual Function within 90 Days Following Cataract Surgery,-999,-999
,340002,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,-999,-999
,340002,OP_4,Aspirin at Arrival,-999,-999
,340002,OP_5,Median Time to ECG,-999,-999
,340003,OP_1,Median Time to Fibrinolysis,-999,-999
,340003,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,-999,-999
,340003,OP_31,Improvement in Patient???s Visual Function within 90 Days Following Cataract Surgery,-999,-999
,340003,STK_4,Thrombolytic Therapy,-999,-999
,340003,VTE_5,Warfarin therapy discharge instructions,-999,-999
,340003,VTE_6,Hospital acquired potentially preventable venous thromboembolism,-999,-999
,340004,OP_1,Median Time to Fibrinolysis,-999,-999
,340004,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,-999,-999
,340004,OP_23,Head CT results,-999,-999
,340004,OP_29,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,-999,-999
,340004,OP_31,Improvement in Patient???s Visual Function within 90 Days Following Cataract Surgery,-999,-999
,340004,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,-999,-999
,340008,OP_1,Median Time to Fibrinolysis,-999,-999
,340008,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,-999,-999
,340008,OP_23,Head CT results,-999,-999
,340008,OP_31,Improvement in Patient???s Visual Function within 90 Days Following Cataract Surgery,-999,-999
,340008,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,-999,-999
,340008,STK_4,Thrombolytic Therapy,-999,-999
,340008,VTE_5,Warfarin therapy discharge instructions,-999,-999
,340008,VTE_6,Hospital acquired potentially preventable venous thromboembolism,-999,-999
,340010,OP_31,Improvement in Patient???s Visual Function within 90 Days Following Cataract Surgery,-999,-999
,340010,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,-999,-999
,340010,STK_4,Thrombolytic Therapy,-999,-999
,340013,OP_31,Improvement in Patient???s Visual Function within 90 Days Following Cataract Surgery,-999,-999
,340013,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,-999,-999
,340013,STK_4,Thrombolytic Therapy,-999,-999
,340013,VTE_5,Warfarin therapy discharge instructions,-999,-999
,340013,VTE_6,Hospital acquired potentially preventable venous thromboembolism,-999,-999
,340014,OP_1,Median Time to Fibrinolysis,-999,-999
,340014,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,-999,-999
,340014,OP_23,Head CT results,-999,-999
,340014,OP_31,Improvement in Patient???s Visual Function within 90 Days Following Cataract Surgery,-999,-999
,340014,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,-999,-999
,340015,OP_1,Median Time to Fibrinolysis,-999,-999
,340015,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,-999,-999
,340015,OP_31,Improvement in Patient???s Visual Function within 90 Days Following Cataract Surgery,-999,-999
