"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","HCAHPS Measure ID","HCAHPS Question","HCAHPS Answer Description","Patient Survey Star Rating","Patient Survey Star Rating Footnote","HCAHPS Answer Percent","HCAHPS Answer Percent Footnote","HCAHPS Linear Mean Value","Number of Completed Surveys","Number of Completed Surveys Footnote","Survey Response Rate Percent","Survey Response Rate Percent Footnote","Measure Start Date","Measure End Date"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_STAR_RATING","Summary star rating","Summary star rating","3","","Not Applicable","","Not Applicable","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_CLEAN_HSP_A_P","Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean","Not Applicable","","70","","Not Applicable","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_CLEAN_HSP_SN_P","Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean","Not Applicable","","10","","Not Applicable","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean","Not Applicable","","20","","Not Applicable","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_CLEAN_LINEAR_SCORE","Cleanliness - linear mean score","Cleanliness - linear mean score","Not Applicable","","Not Applicable","","86","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_CLEAN_STAR_RATING","Cleanliness - star rating","Cleanliness - star rating","2","","Not Applicable","","Not Applicable","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_COMP_1_A_P","Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well","Not Applicable","","77","","Not Applicable","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_COMP_1_LINEAR_SCORE","Nurse communication - linear mean score","Nurse communication - linear mean score","Not Applicable","","Not Applicable","","91","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_COMP_1_SN_P","Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well","Not Applicable","","4","","Not Applicable","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_COMP_1_STAR_RATING","Nurse communication - star rating","Nurse communication - star rating","3","","Not Applicable","","Not Applicable","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_COMP_1_U_P","Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well","Not Applicable","","19","","Not Applicable","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_COMP_2_A_P","Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well","Not Applicable","","81","","Not Applicable","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_COMP_2_LINEAR_SCORE","Doctor communication - linear mean score","Doctor communication - linear mean score","Not Applicable","","Not Applicable","","92","609","","18","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","H_COMP_2_SN_P","Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well","Not Applicable","","5","","Not Applicable","609","","18","","10/01/2015","09/30/2016"
