Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Measure Start Date,Measure End Date
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","(626) 359-8111","H_CLEAN_HSP_A_P","Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean","4","","77","","91","448","","26","","10/01/2015","09/30/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","(626) 359-8111","H_CLEAN_HSP_SN_P","Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean","4","","5","","91","448","","26","","10/01/2015","09/30/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","(626) 359-8111","H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean","4","","18","","91","448","","26","","10/01/2015","09/30/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","(626) 359-8111","H_CLEAN_LINEAR_SCORE","Cleanliness - linear mean score","Cleanliness - linear mean score","4","","","","91","448","","26","","10/01/2015","09/30/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","(626) 359-8111","H_CLEAN_STAR_RATING","Cleanliness - star rating","Cleanliness - star rating","4","","","","91","448","","26","","10/01/2015","09/30/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_1_A_P","Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well","4","","80","","92","448","","26","","10/01/2015","09/30/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_1_LINEAR_SCORE","Nurse communication - linear mean score","Nurse communication - linear mean score","4","","","","92","448","","26","","10/01/2015","09/30/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_1_SN_P","Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well","4","","2","","92","448","","26","","10/01/2015","09/30/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_1_STAR_RATING","Nurse communication - star rating","Nurse communication - star rating","4","","","","92","448","","26","","10/01/2015","09/30/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_1_U_P","Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well","4","","18","","92","448","","26","","10/01/2015","09/30/2016"
